Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,HH_Subsist,HH_H_M,HH_H_F,Total_HH
1.848342924,0.077314283,Bukonjo,UG411501,,,,Kasese,UG4115,Western,UG4,Uganda,UG,"""2020-06-11T00:00:00.000Z""","""2020-08-24T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",50409,49310,11838,61148
3.971072285,0.185244695,Busongora,UG411502,,,,Kasese,UG4115,Western,UG4,Uganda,UG,"""2020-06-11T00:00:00.000Z""","""2020-08-24T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",41239,42905,9856,52761
1.141879366,0.012641147,Kasese Municipality,UG411503,,,,Kasese,UG4115,Western,UG4,Uganda,UG,"""2020-06-11T00:00:00.000Z""","""2020-08-24T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",,19206,6291,25497
