Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,,Rur_Pctg
0.836962584,0.019310678,Manafwa,UG2052,2015,97.50320102
1.065480794,0.035729868,Maracha,UG3085,2015,218.5812599
2.213732745,0.178594309,Masaka,UG1017,2015,71.51374627
3.780475115,0.318841248,Masindi,UG4125,2015,31.2605042
4.215270948,0.274828165,Mayuge,UG2053,2015,28.52134461
1.229772943,0.042089681,Mbale,UG2054,2015,38.61188672
1.9217556,0.100872074,Mbarara,UG4126,2015,24.6934702
1.313306974,0.044199868,Mitooma,UG4127,2015,41.45021645
2.074128543,0.128639702,Mityana,UG1018,2015,48.00480048
3.050879097,0.288088876,Moroto,UG3086,2015,266.3187856
1.525597164,0.084742844,Moyo,UG3087,2015,369.8055271
2.209552984,0.123905508,Mpigi,UG1019,2015,26.52821317
2.677134101,0.220286501,Mubende,UG1020,2015,20.33937703
2.803626925,0.226170938,Mukono,UG1021,2015,26.54867257
2.568917896,0.146700583,Nabilatuk,UG3088,2015,192.8270042
3.022065271,0.193348343,Nakapiripirit,UG3089,2015,179.7592998
2.856821522,0.282561576,Nakaseke,UG1022,2015,85.80613254
2.836159024,0.285318974,Nakasongola,UG1023,2015,110.1020956
3.578744769,0.379221196,Namayingo,UG2055,2015,56.32447296
0.882804937,0.024348258,Namisindwa,UG2056,2015,90.21047479
1.234640781,0.066182557,Namutumba,UG2057,2015,43.60061681
3.186270885,0.36404629,Napak,UG3090,2015,30.42273042
1.894021816,0.080840923,Nebbi,UG3091,2015,129.512894
1.256158045,0.058621006,Ngora,UG2058,2015,73.51724138
2.16461331,0.113947446,Ntoroko,UG4128,2015,53.45080764
2.271859251,0.164320473,Ntungamo,UG4129,2015,25.93648208
3.846901875,0.385188576,Nwoya,UG3092,2015,57.63648929
1.318403177,0.068933492,Obongi,UG3093,2015,700.2283105
2.288417268,0.126538192,Omoro,UG3094,2015,81.54869933
2.842078242,0.134165304,Otuke,UG3095,2015,112.4189064
2.23390354,0.183162331,Oyam,UG3096,2015,57.4121243
3.457140341,0.268570372,Pader,UG3097,2015,117.4611973
1.728713379,0.084449984,Pakwach,UG3098,2015,53.89809699
1.372127264,0.069822034,Pallisa,UG2059,2015,39.8034398
1.695714872,0.129324617,Rakai,UG1024,2015,30.35460993
1.435936549,0.056055127,Rubanda,UG4130,2015,127.8870398
