name,code,rate,year
Ibanda,UG417,15.08139535,2016
Iganga,UG203,37.58726613,2016
Isingiro,UG418,18.31854994,2016
Jinja,UG204,34.64713165,2016
Kaabong,UG318,13.87521968,2016
Kabale,UG404,41.5501906,2016
Kabarole,UG405,83.070486,2016
Kaberamaido,UG213,22.65251989,2016
Kagadi,UG427,26.29609834,2016
Kakumiro,UG428,15.49295775,2016
Kalaki,UG237,17.59087067,2016
Kalangala,UG101,24.04475043,2016
Kaliro,UG222,15.60810811,2016
Kalungu,UG122,10.02143623,2016
Kampala,UG102,11.8420209,2016
Kamuli,UG205,12.18503937,2016
Kamwenge,UG413,24.78425958,2016
Kanungu,UG414,17.43648961,2016
Kapchorwa,UG206,50.09936766,2016
Kapelebyong,UG236,19.33982684,2016
Karenga,UG335,23.89967638,2016
Kasese,UG406,34.74120083,2016
Kassanda,UG126,53.78654456,2016
Katakwi,UG207,77.73325701,2016
Kayunga,UG112,29.70270981,2016
Kazo,UG433,93.27686607,2016
Kibaale,UG407,16.73248408,2016
Kiboga,UG103,83.81689233,2016
Kibuku,UG227,94.21831637,2016
Kikuube,UG432,70.92706203,2016
Kiruhura,UG419,75.68238213,2016
Kiryandongo,UG421,55.54762754,2016
Kisoro,UG408,51.49023638,2016
Kitagwenda,UG434,13.2986337,2016
Kitgum,UG305,50.76190476,2016
Koboko,UG319,81.76072235,2016
Kole,UG325,64.85951721,2016
Kotido,UG306,47.32379438,2016
Kumi,UG208,73.96121884,2016
Kwania,UG333,12.33954451,2016
Kween,UG228,30.57926829,2016
Kyankwanzi,UG123,76.47309991,2016
Kyegegwa,UG422,32.65494912,2016
Kyenjojo,UG415,41.12314835,2016
Kyotera,UG125,78.1389679,2016
Lamwo,UG326,20.9613984,2016
Lira,UG307,43.68298368,2016
Luuka,UG229,32.33387358,2016
Luwero,UG104,26.42063326,2016
Lwengo,UG124,40.99356683,2016
Lyantonde,UG114,14.95951417,2016
Madi Okollo,UG336,75.22063815,2016
Manafwa,UG223,97.8125,2016
Maracha,UG320,22.0943494,2016
Masaka,UG105,72.2294232,2016
