name,year,rate,code
AVONDALE,2001,6.1,21
LOGAN SQUARE,2001,8,22
HUMBOLDT PARK,2001,16.5,23
WEST TOWN,2001,7.2,24
AUSTIN,2001,25.9,25
WEST GARFIELD PARK,2001,25.5,26
EAST GARFIELD PARK,2001,22.8,27
NEAR WEST SIDE,2001,10.6,28
NORTH LAWNDALE,2001,21.8,29
SOUTH LAWNDALE,2001,8.1,30
LOWER WEST SIDE,2001,6.8,31
LOOP,2001,4.8,32
NEAR SOUTH SIDE,2001,3.8,33
ARMOUR SQUARE,2001,4,34
DOUGLAS,2001,7.9,35
OAKLAND,2001,6.6,36
FULLER PARK,2001,28,37
GRAND BOULEVARD,2001,13.8,38
KENWOOD,2001,7.4,39
WASHINGTON PARK,2001,16.8,40
HYDE PARK,2001,6.3,41
WOODLAWN,2001,18.1,42
SOUTH SHORE,2001,14.5,43
CHATHAM,2001,13,44
AVALON PARK,2001,11.4,45
SOUTH CHICAGO,2001,12.1,46
BURNSIDE,2001,9.8,47
CALUMET HEIGHTS,2001,6.2,48
ROSELAND,2001,17.1,49
PULLMAN,2001,8.5,50
SOUTH DEERING,2001,6.1,51
EAST SIDE,2001,6,52
WEST PULLMAN,2001,13.8,53
RIVERDALE,2001,6.2,54
HEGEWISCH,2001,4.2,55
GARFIELD RIDGE,2001,3.3,56
ARCHER HEIGHTS,2001,4.2,57
OHARE,2001,1.8,58
BRIGHTON PARK,2001,6.4,59
MCKINLEY PARK,2001,3.5,60
BRIDGEPORT,2001,4,61
NEW CITY,2001,16,62
WEST ELSDON,2001,2.5,63
GAGE PARK,2001,6.4,64
CLEARING,2001,1.9,65
WEST LAWN,2001,3.3,66
CHICAGO LAWN,2001,12.3,67
WEST ENGLEWOOD,2001,26.8,68
ENGLEWOOD,2001,30.2,69
GREATER GRAND CROSSING,2001,18.8,70
ASHBURN,2001,3.8,71
AUBURN GRESHAM,2001,15.7,72
BEVERLY,2001,4.7,73
WASHINGTON HEIGHTS,2001,11,74
MOUNT GREENWOOD,2001,1.5,75
MORGAN PARK,2001,6.8,76
EDGEWATER,2001,3.3,77
ROGERS PARK,2002,4.8,1
WEST RIDGE,2002,5,2
UPTOWN,2002,5.7,3
LINCOLN SQUARE,2002,3.2,4
NORTH CENTER,2002,1.1,5
LAKE VIEW,2002,1.5,6
LINCOLN PARK,2002,0.9,7
NEAR NORTH SIDE,2002,2.7,8
EDISON PARK,2002,0,9
NORWOOD PARK,2002,0.3,10
JEFFERSON PARK,2002,1.3,11
FOREST GLEN,2002,0.4,12
NORTH PARK,2002,3.1,13
ALBANY PARK,2002,5.7,14
PORTAGE PARK,2002,2.8,15
IRVING PARK,2002,4.5,16
DUNNING,2002,0.8,17
MONTCLARE,2002,1.5,18
BELMONT CRAGIN,2002,4.3,19
HERMOSA,2002,6.3,20
AVONDALE,2002,5.6,21
LOGAN SQUARE,2002,6.6,22
HUMBOLDT PARK,2002,15,23
WEST TOWN,2002,5.3,24
AUSTIN,2002,22,25
WEST GARFIELD PARK,2002,20.6,26
EAST GARFIELD PARK,2002,19.2,27
NEAR WEST SIDE,2002,7.5,28
NORTH LAWNDALE,2002,19.7,29
SOUTH LAWNDALE,2002,6.7,30
LOWER WEST SIDE,2002,6.3,31
LOOP,2002,2.9,32
NEAR SOUTH SIDE,2002,4.5,33
ARMOUR SQUARE,2002,2.8,34
DOUGLAS,2002,5.8,35
OAKLAND,2002,8.1,36
